epoch,kl_weight,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,train_loss,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train
0,0.0,27338.57421875,27359.33203125,27338.443359375,20.888198852539062,0.0,29911.60546875,29922.71875,29909.662109375,13.057263374328613,0.0
1,0.019999999552965164,25069.8359375,25096.080078125,25069.259765625,26.821271896362305,0.0,25174.16015625,25196.91015625,25171.5078125,25.401708602905273,0.0
2,0.03999999910593033,24518.869140625,24545.349609375,24517.736328125,27.613954544067383,0.0,23606.69921875,23632.1796875,23603.375,28.804628372192383,0.0
3,0.05999999865889549,24348.580078125,24371.001953125,24347.12890625,23.87221908569336,0.0,23117.970703125,23141.806640625,23114.4765625,27.330137252807617,0.0
4,0.07999999821186066,24356.232421875,24372.373046875,24354.8046875,17.568452835083008,0.0,22959.771484375,22977.98046875,22956.755859375,21.225290298461914,0.0
5,0.10000000149011612,24205.498046875,24217.41015625,24204.123046875,13.286672592163086,0.0,22903.283203125,22916.3984375,22900.806640625,15.591524124145508,0.0
6,0.11999999731779099,24153.322265625,24162.966796875,24150.416015625,12.550318717956543,0.0,22871.587890625,22880.6015625,22868.853515625,11.7475004196167,0.0
7,0.14000000059604645,24107.1171875,24116.94921875,24101.255859375,15.692643165588379,0.0,22833.177734375,22842.693359375,22827.62109375,15.072420120239258,0.0
8,0.1599999964237213,24086.90234375,24097.392578125,24081.65625,15.73691177368164,0.0,22783.453125,22793.275390625,22776.83203125,16.443340301513672,0.0
9,0.18000000715255737,24026.603515625,24037.333984375,24020.822265625,16.511545181274414,0.0,22730.03515625,22740.078125,22722.94140625,17.13652992248535,0.0
10,0.20000000298023224,24032.822265625,24043.302734375,24026.30859375,16.994829177856445,0.0,22688.1328125,22698.306640625,22680.634765625,17.671655654907227,0.0
11,0.2199999988079071,24002.794921875,24013.0390625,23996.17578125,16.86318588256836,0.0,22657.7578125,22667.828125,22650.16796875,17.659534454345703,0.0
12,0.23999999463558197,24013.62109375,24023.650390625,24006.169921875,17.480281829833984,0.0,22635.69140625,22645.49609375,22627.87109375,17.624984741210938,0.0
13,0.25999999046325684,23949.126953125,23958.671875,23941.92578125,16.746158599853516,0.0,22617.849609375,22627.21484375,22609.921875,17.29203987121582,0.0
14,0.2800000011920929,23977.291015625,23986.34765625,23969.91796875,16.429405212402344,0.0,22602.2578125,22611.234375,22594.2578125,16.976593017578125,0.0
15,0.30000001192092896,23915.439453125,23923.982421875,23908.080078125,15.902361869812012,0.0,22587.859375,22596.447265625,22579.638671875,16.80776596069336,0.0
16,0.3199999928474426,23908.25390625,23917.263671875,23899.40234375,17.861045837402344,0.0,22570.236328125,22578.634765625,22561.435546875,17.19979476928711,0.0
17,0.3400000035762787,23937.306640625,23946.548828125,23927.59375,18.955707550048828,0.0,22545.484375,22554.28125,22535.37109375,18.91063117980957,0.0
18,0.36000001430511475,23906.052734375,23915.505859375,23895.11328125,20.392311096191406,0.0,22516.705078125,22525.7734375,22505.68359375,20.09065818786621,0.0
19,0.3799999952316284,23847.4609375,23856.974609375,23836.09765625,20.876596450805664,0.0,22484.802734375,22493.939453125,22473.095703125,20.842870712280273,0.0
20,0.4000000059604645,23835.30859375,23844.6953125,23822.916015625,21.779340744018555,0.0,22455.455078125,22464.591796875,22443.2265625,21.365583419799805,0.0
21,0.41999998688697815,23806.9921875,23816.138671875,23794.6796875,21.458284378051758,0.0,22431.55859375,22440.5078125,22418.875,21.632553100585938,0.0
22,0.4399999976158142,23837.375,23846.369140625,23824.087890625,22.28089141845703,0.0,22412.958984375,22421.701171875,22399.919921875,21.78044891357422,0.0
23,0.46000000834465027,23710.3828125,23719.052734375,23697.150390625,21.902429580688477,0.0,22398.708984375,22407.193359375,22385.3515625,21.84136199951172,0.0
24,0.47999998927116394,23728.181640625,23736.421875,23714.810546875,21.612289428710938,0.0,22385.822265625,22393.939453125,22372.287109375,21.65323257446289,0.0
25,0.5,23746.71484375,23754.744140625,23732.58203125,22.16226577758789,0.0,22374.578125,22382.41796875,22360.671875,21.745569229125977,0.0
26,0.5199999809265137,23732.47265625,23740.02734375,23718.275390625,21.75102424621582,0.0,22365.521484375,22373.05078125,22351.31640625,21.73493194580078,0.0
27,0.5400000214576721,23722.5,23729.818359375,23707.8984375,21.92001724243164,0.0,22356.484375,22363.646484375,22342.107421875,21.538209915161133,0.0
28,0.5600000023841858,23745.052734375,23752.056640625,23729.6171875,22.440099716186523,0.0,22348.52734375,22355.431640625,22333.59375,21.837488174438477,0.0
29,0.5799999833106995,23716.453125,23723.19140625,23700.8046875,22.386188507080078,0.0,22340.38671875,22347.017578125,22325.15234375,21.866029739379883,0.0
30,0.6000000238418579,23677.619140625,23684.09375,23661.3203125,22.773483276367188,0.0,22332.19140625,22338.546875,22316.474609375,22.07177734375,0.0
31,0.6200000047683716,23634.8359375,23641.005859375,23617.91015625,23.096376419067383,0.0,22323.615234375,22329.716796875,22307.421875,22.294414520263672,0.0
32,0.6399999856948853,23678.095703125,23683.962890625,23661.060546875,22.902801513671875,0.0,22315.8828125,22321.65625,22299.30859375,22.34741973876953,0.0
33,0.6600000262260437,23654.7890625,23660.310546875,23636.876953125,23.43453025817871,0.0,22308.865234375,22314.306640625,22291.984375,22.322309494018555,0.0
34,0.6800000071525574,23642.205078125,23647.39453125,23624.294921875,23.10011100769043,0.0,22302.21875,22307.35546875,22284.98046875,22.37417221069336,0.0
35,0.699999988079071,23645.04296875,23649.947265625,23626.470703125,23.47723388671875,0.0,22295.580078125,22300.400390625,22278.021484375,22.379085540771484,0.0
36,0.7200000286102295,23644.22265625,23648.771484375,23625.013671875,23.75837516784668,0.0,22289.5625,22294.05859375,22271.720703125,22.33713150024414,0.0
37,0.7400000095367432,23625.974609375,23630.16796875,23606.673828125,23.49481773376465,0.0,22284.01171875,22288.15625,22265.81640625,22.339553833007812,0.0
38,0.7599999904632568,23650.34375,23654.1875,23630.833984375,23.35395622253418,0.0,22278.21875,22282.029296875,22259.759765625,22.269792556762695,0.0
39,0.7799999713897705,23606.384765625,23609.921875,23586.21875,23.702987670898438,0.0,22272.546875,22276.048828125,22253.71484375,22.334753036499023,0.0
40,0.800000011920929,23584.544921875,23587.76953125,23563.81640625,23.95328140258789,0.0,22267.533203125,22270.712890625,22248.494140625,22.218055725097656,0.0
41,0.8199999928474426,23605.181640625,23608.048828125,23584.48046875,23.568466186523438,0.0,22263.42578125,22266.26953125,22244.03125,22.238950729370117,0.0
42,0.8399999737739563,23591.556640625,23594.083984375,23570.359375,23.725372314453125,0.0,22259.3515625,22261.873046875,22239.693359375,22.179555892944336,0.0
43,0.8600000143051147,23611.10546875,23613.314453125,23589.857421875,23.457605361938477,0.0,22255.19140625,22257.392578125,22235.271484375,22.12183952331543,0.0
44,0.8799999952316284,23579.9921875,23581.892578125,23557.875,24.017799377441406,0.0,22250.740234375,22252.623046875,22230.578125,22.045705795288086,0.0
45,0.8999999761581421,23612.041015625,23613.6015625,23590.177734375,23.42428207397461,0.0,22247.17578125,22248.734375,22226.689453125,22.044591903686523,0.0
46,0.9200000166893005,23609.13671875,23610.390625,23586.44921875,23.940519332885742,0.0,22243.84375,22245.095703125,22223.2734375,21.822280883789062,0.0
47,0.9399999976158142,23550.115234375,23551.052734375,23526.916015625,24.136051177978516,0.0,22240.876953125,22241.806640625,22219.96484375,21.842227935791016,0.0
48,0.9599999785423279,23550.337890625,23550.953125,23527.501953125,23.4515380859375,0.0,22238.20703125,22238.8203125,22217.046875,21.772953033447266,0.0
49,0.9800000190734863,23568.171875,23568.478515625,23544.33203125,24.14640235900879,0.0,22235.1640625,22235.46484375,22213.83203125,21.632373809814453,0.0
50,1.0,23542.658203125,23542.658203125,23519.1953125,23.46241569519043,0.0,22231.91015625,22231.91796875,22210.41796875,21.499616622924805,0.0
51,1.0,23546.27734375,23546.275390625,23522.841796875,23.434532165527344,0.0,22228.666015625,22228.669921875,22207.169921875,21.500818252563477,0.0
52,1.0,23561.515625,23561.517578125,23537.544921875,23.972150802612305,0.0,22225.69921875,22225.705078125,22204.115234375,21.589075088500977,0.0
53,1.0,23529.2734375,23529.271484375,23505.236328125,24.03451919555664,0.0,22222.83984375,22222.84375,22201.19140625,21.652610778808594,0.0
54,1.0,23532.201171875,23532.201171875,23507.888671875,24.31205940246582,0.0,22220.25,22220.251953125,22198.447265625,21.804218292236328,0.0
55,1.0,23606.12890625,23606.130859375,23582.099609375,24.03032112121582,0.0,22217.154296875,22217.166015625,22195.4140625,21.752912521362305,0.0
56,1.0,23554.845703125,23554.84765625,23530.328125,24.519540786743164,0.0,22213.587890625,22213.58203125,22191.703125,21.87900733947754,0.0
57,1.0,23493.83984375,23493.837890625,23469.111328125,24.725921630859375,0.0,22210.28125,22210.28125,22188.287109375,21.9936466217041,0.0
58,1.0,23502.962890625,23502.9609375,23477.666015625,25.295774459838867,0.0,22207.314453125,22207.314453125,22185.2421875,22.07212257385254,0.0
59,1.0,23534.08203125,23534.08203125,23509.365234375,24.71694564819336,0.0,22203.931640625,22203.931640625,22181.7890625,22.142784118652344,0.0
60,1.0,23501.181640625,23501.1796875,23475.876953125,25.303071975708008,0.0,22200.955078125,22200.955078125,22178.75390625,22.202136993408203,0.0
61,1.0,23529.3125,23529.31640625,23503.728515625,25.587827682495117,0.0,22198.203125,22198.197265625,22175.916015625,22.280593872070312,0.0
62,1.0,23502.5,23502.501953125,23477.0546875,25.446441650390625,0.0,22194.66015625,22194.662109375,22172.326171875,22.336673736572266,0.0
63,1.0,23485.166015625,23485.1640625,23459.43359375,25.72962760925293,0.0,22192.169921875,22192.17578125,22169.798828125,22.3768310546875,0.0
64,1.0,23466.302734375,23466.30078125,23440.666015625,25.63503074645996,0.0,22188.97265625,22188.982421875,22166.5078125,22.47458839416504,0.0
65,1.0,23486.150390625,23486.1484375,23459.931640625,26.21700096130371,0.0,22186.150390625,22186.15625,22163.603515625,22.55225372314453,0.0
66,1.0,23466.275390625,23466.275390625,23440.47265625,25.802305221557617,0.0,22183.60546875,22183.609375,22160.962890625,22.646739959716797,0.0
67,1.0,23476.78125,23476.783203125,23450.693359375,26.09012794494629,0.0,22180.728515625,22180.7265625,22158.126953125,22.600351333618164,0.0
68,1.0,23495.59375,23495.58984375,23469.1328125,26.45771598815918,0.0,22178.259765625,22178.2734375,22155.5625,22.710193634033203,0.0
69,1.0,23500.1875,23500.189453125,23473.3828125,26.806249618530273,0.0,22175.88671875,22175.896484375,22153.189453125,22.707616806030273,0.0
70,1.0,23483.759765625,23483.7578125,23456.974609375,26.783676147460938,0.0,22173.330078125,22173.341796875,22150.55078125,22.79018783569336,0.0
71,1.0,23462.998046875,23463.001953125,23436.052734375,26.94969940185547,0.0,22170.580078125,22170.5859375,22147.7265625,22.85930824279785,0.0
72,1.0,23477.7734375,23477.7734375,23451.107421875,26.665679931640625,0.0,22168.197265625,22168.19921875,22145.310546875,22.887712478637695,0.0
73,1.0,23493.28515625,23493.287109375,23466.41015625,26.877887725830078,0.0,22165.44921875,22165.4375,22142.626953125,22.81001853942871,0.0
74,1.0,23440.724609375,23440.71875,23413.927734375,26.7916202545166,0.0,22163.228515625,22163.236328125,22140.326171875,22.909881591796875,0.0
75,1.0,23501.958984375,23501.958984375,23474.294921875,27.663597106933594,0.0,22160.91015625,22160.91015625,22137.943359375,22.967771530151367,0.0
76,1.0,23469.28125,23469.283203125,23442.10546875,27.17822265625,0.0,22158.7265625,22158.73828125,22135.8125,22.925533294677734,0.0
77,1.0,23469.875,23469.876953125,23442.81640625,27.061046600341797,0.0,22156.625,22156.626953125,22133.61328125,23.01332664489746,0.0
78,1.0,23447.220703125,23447.216796875,23419.634765625,27.58265495300293,0.0,22154.3671875,22154.369140625,22131.255859375,23.113401412963867,0.0
79,1.0,23404.26171875,23404.26953125,23376.509765625,27.758865356445312,0.0,22151.765625,22151.763671875,22128.767578125,22.995655059814453,0.0
80,1.0,23417.2578125,23417.259765625,23389.703125,27.557144165039062,0.0,22149.84375,22149.833984375,22126.73828125,23.09656524658203,0.0
81,1.0,23457.607421875,23457.609375,23430.333984375,27.274736404418945,0.0,22148.203125,22148.203125,22124.970703125,23.23152732849121,0.0
82,1.0,23467.591796875,23467.591796875,23439.76171875,27.829591751098633,0.0,22145.529296875,22145.517578125,22122.357421875,23.160991668701172,0.0
83,1.0,23444.55078125,23444.546875,23416.369140625,28.177860260009766,0.0,22143.630859375,22143.625,22120.423828125,23.200284957885742,0.0
84,1.0,23463.865234375,23463.869140625,23436.03515625,27.83406639099121,0.0,22141.62109375,22141.630859375,22118.30078125,23.330768585205078,0.0
85,1.0,23426.71484375,23426.7109375,23398.994140625,27.716920852661133,0.0,22139.73828125,22139.73828125,22116.365234375,23.372873306274414,0.0
86,1.0,23472.14453125,23472.14453125,23443.0390625,29.10623550415039,0.0,22137.4140625,22137.416015625,22114.05078125,23.364858627319336,0.0
87,1.0,23427.62890625,23427.630859375,23399.474609375,28.15590476989746,0.0,22135.1875,22135.173828125,22111.763671875,23.411046981811523,0.0
88,1.0,23429.830078125,23429.83203125,23401.521484375,28.30983543395996,0.0,22133.193359375,22133.189453125,22109.80078125,23.389400482177734,0.0
89,1.0,23414.4296875,23414.43359375,23386.310546875,28.12264633178711,0.0,22131.357421875,22131.359375,22107.904296875,23.454776763916016,0.0
90,1.0,23423.03125,23423.033203125,23394.79296875,28.23938751220703,0.0,22129.4140625,22129.40625,22105.9140625,23.492399215698242,0.0
91,1.0,23424.25,23424.248046875,23395.666015625,28.582935333251953,0.0,22126.8828125,22126.875,22103.361328125,23.51422882080078,0.0
92,1.0,23386.7265625,23386.7265625,23357.794921875,28.930715560913086,0.0,22125.18359375,22125.177734375,22101.63671875,23.541242599487305,0.0
93,1.0,23418.0,23417.99609375,23389.20703125,28.788530349731445,0.0,22123.69140625,22123.681640625,22100.021484375,23.659282684326172,0.0
94,1.0,23433.544921875,23433.54296875,23404.576171875,28.967504501342773,0.0,22121.642578125,22121.646484375,22097.9609375,23.685956954956055,0.0
95,1.0,23421.5,23421.498046875,23392.8203125,28.677871704101562,0.0,22119.423828125,22119.4140625,22095.7421875,23.67239761352539,0.0
96,1.0,23372.255859375,23372.25390625,23343.37890625,28.87565803527832,0.0,22117.46484375,22117.46875,22093.798828125,23.669116973876953,0.0
97,1.0,23450.716796875,23450.71484375,23422.26953125,28.446252822875977,0.0,22115.80859375,22115.818359375,22092.01171875,23.80580711364746,0.0
98,1.0,23462.841796875,23462.845703125,23434.30859375,28.53660774230957,0.0,22114.193359375,22114.19140625,22090.384765625,23.807525634765625,0.0
99,1.0,23405.56640625,23405.568359375,23376.646484375,28.922306060791016,0.0,22112.220703125,22112.220703125,22088.400390625,23.820537567138672,0.0
100,1.0,23411.931640625,23411.93359375,23382.25390625,29.678728103637695,0.0,22110.318359375,22110.32421875,22086.451171875,23.87305450439453,0.0
101,1.0,23404.8671875,23404.86328125,23375.50390625,29.359172821044922,0.0,22108.1328125,22108.134765625,22084.240234375,23.894145965576172,0.0
102,1.0,23392.060546875,23392.060546875,23362.2890625,29.771650314331055,0.0,22106.14453125,22106.138671875,22082.154296875,23.98457145690918,0.0
103,1.0,23426.857421875,23426.857421875,23397.62109375,29.237180709838867,0.0,22104.69921875,22104.693359375,22080.69921875,23.993497848510742,0.0
104,1.0,23408.85546875,23408.85546875,23378.8984375,29.95773696899414,0.0,22103.22265625,22103.21875,22079.0859375,24.133712768554688,0.0
105,1.0,23402.208984375,23402.212890625,23372.658203125,29.55533790588379,0.0,22101.201171875,22101.193359375,22077.013671875,24.179420471191406,0.0
106,1.0,23401.802734375,23401.8046875,23371.837890625,29.9664306640625,0.0,22099.283203125,22099.29296875,22075.146484375,24.146032333374023,0.0
107,1.0,23408.037109375,23408.0390625,23378.70703125,29.33208656311035,0.0,22097.744140625,22097.74609375,22073.501953125,24.2432804107666,0.0
108,1.0,23418.5625,23418.560546875,23389.1015625,29.459157943725586,0.0,22096.158203125,22096.158203125,22071.95703125,24.202028274536133,0.0
109,1.0,23385.552734375,23385.5546875,23355.927734375,29.62679672241211,0.0,22094.365234375,22094.36328125,22070.05078125,24.312490463256836,0.0
110,1.0,23389.375,23389.375,23359.58203125,29.792715072631836,0.0,22092.55078125,22092.546875,22068.21484375,24.332252502441406,0.0
111,1.0,23357.609375,23357.611328125,23327.517578125,30.093324661254883,0.0,22090.955078125,22090.947265625,22066.61328125,24.33312225341797,0.0
112,1.0,23366.849609375,23366.845703125,23336.474609375,30.370838165283203,0.0,22089.2734375,22089.26953125,22064.869140625,24.399425506591797,0.0
113,1.0,23418.974609375,23418.97265625,23388.908203125,30.064769744873047,0.0,22087.501953125,22087.50390625,22063.1796875,24.32474708557129,0.0
114,1.0,23421.759765625,23421.755859375,23391.583984375,30.171926498413086,0.0,22085.73046875,22085.720703125,22061.3984375,24.323196411132812,0.0
115,1.0,23364.720703125,23364.720703125,23334.359375,30.362239837646484,0.0,22084.408203125,22084.40234375,22059.97265625,24.429126739501953,0.0
116,1.0,23419.453125,23419.453125,23388.828125,30.624691009521484,0.0,22082.6953125,22082.697265625,22058.263671875,24.434032440185547,0.0
117,1.0,23378.880859375,23378.876953125,23348.78125,30.0963191986084,0.0,22081.11328125,22081.1171875,22056.64453125,24.472530364990234,0.0
118,1.0,23379.6875,23379.689453125,23349.435546875,30.253820419311523,0.0,22079.72265625,22079.7265625,22055.162109375,24.564781188964844,0.0
119,1.0,23438.29296875,23438.294921875,23407.857421875,30.43748664855957,0.0,22077.896484375,22077.8984375,22053.431640625,24.46670913696289,0.0
120,1.0,23400.068359375,23400.06640625,23368.875,31.192092895507812,0.0,22076.615234375,22076.6171875,22052.091796875,24.524585723876953,0.0
121,1.0,23349.759765625,23349.763671875,23319.533203125,30.231399536132812,0.0,22074.716796875,22074.70703125,22050.193359375,24.513837814331055,0.0
122,1.0,23385.30859375,23385.30859375,23354.68359375,30.6257266998291,0.0,22073.7734375,22073.76953125,22049.205078125,24.563480377197266,0.0
123,1.0,23389.146484375,23389.146484375,23357.96484375,31.181072235107422,0.0,22072.013671875,22072.017578125,22047.474609375,24.542985916137695,0.0
124,1.0,23384.421875,23384.42578125,23353.505859375,30.91947364807129,0.0,22070.654296875,22070.64453125,22046.091796875,24.551856994628906,0.0
125,1.0,23408.482421875,23408.482421875,23377.62109375,30.86069107055664,0.0,22068.703125,22068.71484375,22044.0859375,24.62818717956543,0.0
126,1.0,23377.45703125,23377.45703125,23346.291015625,31.16545867919922,0.0,22067.53125,22067.525390625,22042.880859375,24.643617630004883,0.0
127,1.0,23389.275390625,23389.27734375,23358.56640625,30.71003532409668,0.0,22065.833984375,22065.837890625,22041.212890625,24.624431610107422,0.0
128,1.0,23354.21875,23354.220703125,23323.609375,30.612001419067383,0.0,22064.525390625,22064.52734375,22039.8046875,24.72260093688965,0.0
129,1.0,23437.32421875,23437.326171875,23406.412109375,30.913349151611328,0.0,22062.998046875,22062.9921875,22038.275390625,24.716703414916992,0.0
130,1.0,23374.037109375,23374.0390625,23342.87109375,31.168466567993164,0.0,22061.484375,22061.48046875,22036.71875,24.761451721191406,0.0
131,1.0,23386.998046875,23386.99609375,23355.939453125,31.05682945251465,0.0,22060.21484375,22060.216796875,22035.443359375,24.773509979248047,0.0
132,1.0,23370.22265625,23370.22265625,23339.193359375,31.030258178710938,0.0,22058.484375,22058.494140625,22033.74609375,24.748807907104492,0.0
133,1.0,23384.1328125,23384.134765625,23353.0546875,31.07964324951172,0.0,22057.064453125,22057.064453125,22032.20703125,24.85824966430664,0.0
134,1.0,23393.93359375,23393.93359375,23363.06640625,30.8669490814209,0.0,22055.4765625,22055.46875,22030.671875,24.796205520629883,0.0
135,1.0,23353.1796875,23353.177734375,23322.443359375,30.73444938659668,0.0,22053.8984375,22053.89453125,22029.06640625,24.828907012939453,0.0
136,1.0,23363.435546875,23363.435546875,23332.271484375,31.164588928222656,0.0,22052.478515625,22052.490234375,22027.646484375,24.842912673950195,0.0
137,1.0,23408.783203125,23408.783203125,23377.291015625,31.491893768310547,0.0,22051.076171875,22051.07421875,22026.224609375,24.849361419677734,0.0
138,1.0,23387.87109375,23387.87109375,23356.349609375,31.521339416503906,0.0,22049.7578125,22049.759765625,22024.841796875,24.91781234741211,0.0
139,1.0,23379.3125,23379.314453125,23347.6875,31.627256393432617,0.0,22048.400390625,22048.41015625,22023.47265625,24.937780380249023,0.0
